Date,City,total_active,paid,non_paid,paid_expired,geocoded,building_level,landmark_level,non_geocoded
2023-01-01,Total,0.699712248,0.304939301,0.989513838,0.187569319,0.441976499,0.026393454,0.576161485,0.048760543
2023-01-01,Remote,0.735222845,0.757091221,0.661402696,0.123021766,0.477091925,0.229530747,0.047148377,0.851498924
2023-01-01,Pune,0.185391304,0.750199986,0.256194874,0.530124119,0.439690949,0.390424783,0.540324424,0.719545242
2023-01-01,Mumbai,0.145367626,0.853846612,0.98328238,0.470785652,0.63391586,0.538248967,0.295309446,0.066601407
2023-01-01,Kolkata,0.965997266,0.885111089,0.616099003,0.371230734,0.569777876,0.620284452,0.353183789,0.373761871
2023-01-01,Hyderabad,0.556978412,0.175890953,0.906580746,0.436721068,0.487233266,0.484475528,0.11488077,0.541650114
2023-01-01,Delhi,0.726649431,0.783341066,0.02085147,0.108840479,0.844940326,0.906901785,0.126502787,0.62601399
2023-01-01,Chennai,0.091275214,0.166795734,0.426395764,0.527150462,0.747451136,0.975799955,0.81142877,0.455974114
2023-01-01,Bangalore,0.309428686,0.362410786,0.551077879,0.865516017,0.56435526,0.648170761,0.731745594,0.295262342
2023-01-01,Ahmedabad,0.017457141,0.722063698,0.920109928,0.75381915,0.695100884,0.021998756,0.073762789,0.329641279
2023-01-02,Total,0.790487458,0.952504115,0.269696204,0.959877371,0.720660978,0.967568338,0.883973776,0.552310815
2023-01-02,Remote,0.977372914,0.474408896,0.650367875,0.565398426,0.773759435,0.591699788,0.022908657,0.68084365
2023-01-02,Pune,0.467155737,0.850126722,0.868530198,0.723423922,0.048978505,0.380077619,0.934643911,0.216630231
2023-01-02,Mumbai,0.268713101,0.064119198,0.655310404,0.891635255,0.494728739,0.756581702,0.275962167,0.043488446
2023-01-02,Kolkata,0.288291782,0.795535083,0.934493801,0.856008616,0.681506969,0.173710346,0.350339381,0.444392947
2023-01-02,Hyderabad,0.068982658,0.326681284,0.451267018,0.987824598,0.18275136,0.231920153,0.996153654,0.93868462
2023-01-02,Delhi,0.02545745,0.599423482,0.263950138,0.362861218,0.786419975,0.874032801,0.918191375,0.965836563
2023-01-02,Chennai,0.82798087,0.784284344,0.217347422,0.828770287,0.379482414,0.767837025,0.29818862,0.146630555
2023-01-02,Bangalore,0.231609502,0.753884328,0.095259258,0.761815238,0.327669099,0.655500384,0.032869238,0.412410186
2023-01-02,Ahmedabad,0.36374675,0.602875173,0.833698283,0.515117941,0.507018382,0.091008347,0.829253346,0.639230648
2023-01-03,Total,0.456963331,0.435142034,0.686622506,0.331345232,0.022609657,0.664259797,0.112885845,0.065381341
2023-01-03,Remote,0.674462819,0.324482753,0.883839685,0.649405801,0.738818857,0.499653476,0.774706324,0.347221937
2023-01-03,Pune,0.706407623,0.345764867,0.97199444,0.218562149,0.14945778,0.80637322,0.794437326,0.280059569
2023-01-03,Mumbai,0.945966377,0.68971007,0.791913228,0.460386001,0.464006258,0.291399991,0.678945517,0.523388343
2023-01-03,Kolkata,0.941937555,0.124286033,0.830196508,0.928019861,0.920678957,0.057449309,0.411336089,0.387665123
2023-01-03,Hyderabad,0.42071147,0.798018122,0.029017805,0.884931839,0.820260196,0.330658562,0.897113083,0.181686408
2023-01-03,Delhi,0.335834878,0.630432209,0.838509062,0.128382632,0.32922642,0.664728132,0.352309455,0.225490236
2023-01-03,Chennai,0.67961577,0.161740059,0.102950231,0.981407139,0.938899384,0.543333504,0.679101699,0.887737717
2023-01-03,Bangalore,0.60528067,0.639249564,0.870503584,0.717649091,0.219408894,0.819473677,0.552512217,0.435483601
2023-01-03,Ahmedabad,0.438380223,0.604083621,0.625807763,0.373072384,0.329087639,0.641972515,0.89066179,0.993086389
2023-01-04,Total,0.61079205,0.503553298,0.061403737,0.496684675,0.110508324,0.034951395,0.115367685,0.673344776
2023-01-04,Remote,0.165400313,0.078749812,0.075321841,0.834437861,0.332468561,0.579146805,0.939093262,0.276941796
2023-01-04,Pune,0.084093764,0.628975851,0.833118773,0.744867391,0.06360538,0.256083743,0.735192156,0.470639907
2023-01-04,Mumbai,0.129478587,0.558349587,0.303843796,0.101770962,0.468848431,0.780930919,0.377674359,0.324390535
2023-01-04,Kolkata,0.304967796,0.97759538,0.395507302,0.752277222,0.678082947,0.227249419,0.426543229,0.608965432
2023-01-04,Hyderabad,0.724417713,0.539179136,0.794738518,0.36320104,0.384901537,0.033843254,0.50891666,0.907592
2023-01-04,Delhi,0.079854727,0.606945059,0.973838962,0.70087842,0.064304705,0.551474369,0.343172914,0.776075882
2023-01-04,Chennai,0.676060452,0.324019111,0.286252704,0.780944511,0.819705294,0.183231782,0.507100952,0.513485102
2023-01-04,Bangalore,0.177223746,0.674055344,0.882399612,0.377378988,0.961483319,0.995426031,0.721956639,0.352003674
2023-01-04,Ahmedabad,0.341305541,0.807123898,0.052806185,0.598201523,0.181324494,0.135959285,0.269273976,0.824898963
2023-01-05,Total,0.000531151,0.861183374,0.246159769,0.124412327,0.065659175,0.802957696,0.677249975,0.723158597
2023-01-05,Remote,0.285673109,0.503190342,0.299676232,0.55388158,0.095522003,0.440306358,0.732246988,0.958336746
2023-01-05,Pune,0.513104457,0.727548348,0.512800685,0.467225255,0.831785395,0.458926369,0.269560611,0.374026355
2023-01-05,Mumbai,0.728330577,0.048588677,0.474829793,0.352856407,0.561668274,0.110103615,0.131170204,0.63883188
2023-01-05,Kolkata,0.352233279,0.521371635,0.013383644,0.474709583,0.709765441,0.697179872,0.175938056,0.447643796
2023-01-05,Hyderabad,0.642085087,0.752115515,0.938385664,0.795252511,0.50420272,0.387668125,0.249021583,0.166536163
2023-01-05,Delhi,0.950382754,0.414511015,0.96130993,0.316755353,0.884857745,0.506386276,0.040032393,0.049986065
2023-01-05,Chennai,0.388247082,0.298655457,0.865402209,0.666858259,0.815426761,0.097199356,0.35536664,0.536972721
2023-01-05,Bangalore,0.712168417,0.362449347,0.810010024,0.5552319,0.139945324,0.031225479,0.350491921,0.247174957
2023-01-05,Ahmedabad,0.422218827,0.648149134,0.879163368,0.015290904,0.148280011,0.268616732,0.890851396,0.150379107
2023-01-06,Total,0.754943216,0.368626956,0.985831552,0.558846473,0.550830465,0.919195629,0.690696884,0.313753325
