Date,City,total_active,paid,non_paid,paid_expired,geocoded,building_level,landmark_level,non_geocoded
2023-01-01,Total,0.699715359,0.304910726,0.989793612,0.186416588,0.441806919,0.02631401,0.576364521,0.047994279
2023-01-01,Remote,0.735253091,0.757983366,0.661513808,0.121752478,0.476955002,0.229685586,0.046996906,0.85193501
2023-01-01,Pune,0.185001409,0.751078099,0.256097694,0.529589956,0.439519243,0.390765186,0.540503444,0.719783687
2023-01-01,Mumbai,0.144947148,0.854935781,0.983558951,0.470144339,0.633924779,0.538759859,0.295324275,0.065861865
2023-01-01,Kolkata,0.966203852,0.886263922,0.616186827,0.37040965,0.569727148,0.620889958,0.353237401,0.373482397
2023-01-01,Hyderabad,0.556872457,0.175599596,0.906817889,0.436018243,0.487105774,0.484924402,0.114774688,0.541622105
2023-01-01,Delhi,0.726673125,0.784286664,0.020633314,0.107545583,0.845145494,0.907837854,0.126404494,0.626112342
2023-01-01,Chennai,0.090813403,0.166485856,0.426386074,0.52661093,0.747565641,0.976815486,0.811789465,0.455817779
2023-01-01,Bangalore,0.309133571,0.362499241,0.55113228,0.865587488,0.56429949,0.648808429,0.732052891,0.294865291
2023-01-01,Ahmedabad,0.016938924,0.722884517,0.920354026,0.753688925,0.695166704,0.021914243,0.073629153,0.329295721
2023-01-02,Total,0.790559933,0.953794181,0.269605964,0.960119235,0.720750568,0.968574376,0.884383086,0.552298774
2023-01-02,Remote,0.977588193,0.474725413,0.650473315,0.56492796,0.773898406,0.592272327,0.022740942,0.681024127
2023-01-02,Pune,0.466981146,0.851208316,0.868747782,0.72323881,0.048443445,0.380406088,0.935087176,0.216115404
2023-01-02,Mumbai,0.268386875,0.063600239,0.655418385,0.891753891,0.494608217,0.757344403,0.275964031,0.042714285
2023-01-02,Kolkata,0.287980516,0.796505512,0.934745293,0.856062919,0.681560147,0.173800806,0.350391087,0.444219265
2023-01-02,Hyderabad,0.068503813,0.326696982,0.451270112,0.988116928,0.182340706,0.232077748,0.996638139,0.939251294
2023-01-02,Delhi,0.024945346,0.599994567,0.263856944,0.36202502,0.78657072,0.874930962,0.918623615,0.966443905
2023-01-02,Chennai,0.828081994,0.785231863,0.217230272,0.828775405,0.379254716,0.768612707,0.298205378,0.146010882
2023-01-02,Bangalore,0.231254924,0.754769943,0.09507935,0.761699451,0.327393216,0.656146505,0.032708198,0.4121886
2023-01-02,Ahmedabad,0.363493141,0.603453287,0.833897962,0.514556681,0.50690929,0.091003425,0.829625986,0.639348797
2023-01-03,Total,0.456780951,0.435378592,0.686746582,0.330452124,0.022050075,0.664916021,0.112778426,0.064639972
2023-01-03,Remote,0.674446636,0.324493975,0.884065139,0.649087031,0.738925334,0.500119855,0.77504241,0.346902712
2023-01-03,Pune,0.70641585,0.345819426,0.972265209,0.217465383,0.149016164,0.807193347,0.794786635,0.279639747
2023-01-03,Mumbai,0.946157657,0.690465007,0.792091428,0.459725909,0.463857165,0.291626186,0.679217431,0.523332982
2023-01-03,Kolkata,0.942125757,0.123889593,0.830394387,0.928204198,0.92095456,0.057405682,0.411428671,0.387406474
2023-01-03,Hyderabad,0.420501389,0.798993607,0.028803847,0.88503837,0.820442412,0.330930035,0.897531198,0.181119242
2023-01-03,Delhi,0.335559941,0.631066438,0.838711214,0.127123025,0.328951985,0.665384896,0.352362481,0.22498868
2023-01-03,Chennai,0.679603525,0.161419886,0.102774277,0.98168788,0.939191931,0.54385026,0.679373718,0.888228082
2023-01-03,Bangalore,0.605211623,0.639901747,0.870722182,0.717453551,0.219032331,0.820308913,0.552699405,0.435296575
2023-01-03,Ahmedabad,0.438183644,0.604664196,0.625900578,0.372254625,0.328813075,0.642603034,0.891075581,0.993734547
2023-01-04,Total,0.610727215,0.503929162,0.061206426,0.496090129,0.110030486,0.034881821,0.11526193,0.673514021
2023-01-04,Remote,0.164995143,0.078260646,0.075131685,0.834453213,0.332197141,0.579704866,0.939539509,0.276517304
2023-01-04,Pune,0.083626465,0.629607114,0.833318154,0.744721001,0.063083923,0.256269207,0.735501763,0.470505538
2023-01-04,Mumbai,0.129045968,0.558837033,0.303771109,0.100463301,0.468703841,0.781721703,0.377744383,0.324037113
2023-01-04,Kolkata,0.304669273,0.978936539,0.395481734,0.752144212,0.678132941,0.227401627,0.426646001,0.609038249
2023-01-04,Hyderabad,0.724439702,0.539627545,0.79491817,0.362365456,0.384678879,0.033772402,0.509074633,0.908112103
2023-01-04,Delhi,0.079384189,0.607531461,0.974110679,0.700652597,0.063783899,0.552000514,0.343219817,0.776398999
